tappan,overall-accuracy,accuracy,tree-recall,crop-recall,tree-precision,crop-precision
Tappan23_WV02_20110514_M1BS_103001000B88A400,0.7544869241607267,0.7607927446844097,0.7657556707007754,0.7977750442560443,0.9507251625296422,0.5896679040452388
Tappan23_WV02_20170126_M1BS_103001006391D100,0.9183118699780781,0.934861826587766,0.872140222567199,0.9740225368743575,0.9791959627488025,0.8706654170571696
Tappan23_WV02_20180119_M1BS_103001007A5E8700,0.9538784503629882,0.9563872030396673,0.9396106540961541,0.9756369745348171,0.9757510285835805,0.9424983795906737
Tappan24_WV02_20140121_M1BS_103001002CA7C100,0.9120333373354661,0.9393811995682076,0.8815982071854268,0.9629479479423428,0.993530574594424,0.9651431919560176
Tappan24_WV02_20180119_M1BS_1030010078571700,0.7379533811818616,0.7091135556783005,0.7608449718914815,0.770149348416199,0.9113907061700232,0.9225479001141883
Tappan29_WV02_20131128_M1BS_103001002A239000,0.9110454,0.9535584992711459,0.9003664437789796,0.9686638005409832,0.998836454433245,0.8932803223688192
Tappan29_WV02_20140603_M1BS_1030010031528300,0.3838596863772688,0.5689772783682,0.2605788941690536,0.9682569415826157,0.9851343792639915,0.6069189610425756
Tappan29_WV02_20150213_M1BS_103001003E0C1D00,0.28097918434897085,0.641802021163834,0.1534672840823105,0.9705594927858641,0.9818887070376432,0.6750048694772876
Tappan29_WV02_20201206_M1BS_10300100AEB87200,0.9535144448286086,0.969566040615447,0.950424706139423,0.965098892136206,0.9996091889003811,0.9963097527336993
Tappan29_WV03_20180414_M1BS_10400100384F2100,0.1654980645205531,0.35539065746335935,0.03906336058905268,0.9988658160950645,0.988364674278039,0.14947869426715557
Tappan32_WV02_20130613_M1BS_103001002379A100,0.9500511867449956,0.9511283213590765,0.9236581409433778,0.9776788566525978,0.9782960878102298,0.9931094951223437
Tappan32_WV02_20210507_M1BS_10300100BE8F1E00,0.5718931239452589,0.6139065988465152,0.5965651481911645,0.42184195889325576,0.8742577066128727,0.9556731423612659
Tappan32_WV03_20150228_M1BS_10400100088E7000,0.64390917135184,0.6382147853329513,0.5697872570978192,0.6717415625928246,0.7112338087405685,0.8830754088821232
Tappan32_WV03_20160217_M1BS_10400100171CEC00,0.7167189524153397,0.6854397510072072,0.5658565201096236,0.8503851020495415,0.8463472978218286,0.943970333196174
Tappan32_WV03_20170529_M1BS_104001002CA73E00,0.943894770190865,0.9352205470535138,0.9113268410911849,0.9804759754119959,0.9526405150250578,0.984966308817181
Tappan33_WV02_20110422_M1BS_103001000AC9BB00,0.9493454700407471,0.9314889592303519,0.933526766715006,0.9675100472059199,0.9483881586954581,0.9911375388159346
Tappan33_WV02_20120402_M1BS_10300100112C8900,0.7655958595484201,0.7633497002341966,0.6991047811142282,0.8163013488566161,0.9289166286979688,0.9659680598010103
